id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,feature drift,98,20,19,88,453,ship,baseline,monotonic-signal
g002,window width,115,19,14,20,381,ship,edge,drag-penalty
g003,metric stability,39,21,34,20,97,hold,recovery,confidence-floor
g004,explainability,92,24,4,81,474,ship,negative,lane-boundary
g005,feature drift,34,63,32,73,278,ship,baseline,monotonic-signal
g006,window width,53,50,6,30,301,ship,edge,drag-penalty
g007,metric stability,110,11,36,56,356,ship,recovery,confidence-floor
g008,explainability,54,64,32,31,256,ship,negative,lane-boundary
g009,feature drift,117,58,10,66,569,ship,baseline,monotonic-signal
g010,window width,108,58,43,88,487,ship,edge,drag-penalty
g011,metric stability,107,60,19,103,590,ship,recovery,confidence-floor
g012,explainability,110,64,29,72,515,ship,negative,lane-boundary
g013,feature drift,71,68,16,61,423,ship,baseline,monotonic-signal
g014,window width,99,38,31,60,400,ship,edge,drag-penalty
g015,metric stability,117,60,19,21,456,ship,recovery,confidence-floor
g016,explainability,41,39,14,49,257,ship,negative,lane-boundary
g017,feature drift,51,31,34,25,163,ship,baseline,monotonic-signal
g018,window width,103,29,25,103,498,ship,edge,drag-penalty
g019,metric stability,45,31,22,61,253,ship,recovery,confidence-floor
g020,explainability,63,34,22,87,365,ship,negative,lane-boundary
g021,feature drift,76,73,23,105,515,ship,baseline,monotonic-signal
g022,window width,86,25,4,105,506,ship,edge,drag-penalty
g023,metric stability,94,39,17,80,469,ship,recovery,confidence-floor
g024,explainability,102,13,4,72,464,ship,negative,lane-boundary
g025,feature drift,65,34,41,29,198,ship,baseline,monotonic-signal
g026,window width,50,51,19,55,305,ship,edge,drag-penalty
g027,metric stability,46,27,31,30,159,watch,recovery,confidence-floor
g028,explainability,92,52,17,65,459,ship,negative,lane-boundary
g029,feature drift,74,32,33,87,361,ship,baseline,monotonic-signal
g030,window width,113,25,21,102,530,ship,edge,drag-penalty
g031,metric stability,48,24,17,71,283,ship,recovery,confidence-floor
g032,explainability,51,26,37,60,214,ship,negative,lane-boundary
g033,feature drift,68,29,28,59,296,ship,baseline,monotonic-signal
g034,window width,80,68,4,20,404,ship,edge,drag-penalty
g035,metric stability,45,55,14,48,299,ship,recovery,confidence-floor
g036,explainability,75,16,43,24,176,ship,negative,lane-boundary
g037,feature drift,94,69,16,102,576,ship,baseline,monotonic-signal
g038,window width,63,63,4,60,423,ship,edge,drag-penalty
g039,metric stability,95,63,41,86,460,ship,recovery,confidence-floor
g040,explainability,70,65,19,104,491,ship,negative,lane-boundary
g041,feature drift,61,69,10,104,499,ship,baseline,monotonic-signal
g042,window width,60,73,7,79,463,ship,edge,drag-penalty
g043,metric stability,63,43,7,71,396,ship,recovery,confidence-floor
g044,explainability,112,65,8,28,498,ship,negative,lane-boundary
g045,feature drift,52,44,31,54,259,ship,baseline,monotonic-signal
g046,window width,70,36,44,29,208,ship,edge,drag-penalty
g047,metric stability,82,34,31,64,349,ship,recovery,confidence-floor
g048,explainability,92,36,26,86,442,ship,negative,lane-boundary
g049,feature drift,56,39,4,101,436,ship,baseline,monotonic-signal
g050,window width,86,8,16,70,366,ship,edge,drag-penalty
g051,metric stability,104,30,44,59,358,ship,recovery,confidence-floor
g052,explainability,117,44,18,58,501,ship,negative,lane-boundary
g053,feature drift,39,18,6,105,345,ship,baseline,monotonic-signal
g054,window width,47,39,44,47,181,ship,edge,drag-penalty
g055,metric stability,55,56,22,23,257,ship,recovery,confidence-floor
g056,explainability,106,32,13,101,545,ship,negative,lane-boundary
g057,feature drift,91,57,31,59,412,ship,baseline,monotonic-signal
